Title;Authors;Year;Venue;DOI;Abstract;Selected?;Exclusion Criteria
An Advance Review of Urban-AI and Ethical Considerations;Mirindi, Derrick and Sinkhonde, David and Mirindi, Frederic;2024;Proceedings of the 2nd ACM SIGSPATIAL International Workshop on Advances in Urban-AI;https://doi.org/10.1145/3681780.3697246;The rapid digitization of urban infrastructure and the availability of urban data have created opportunities for developing and using artificial intelligence (AI), machine learning (ML), and deep learning (DL) algorithms to address cities' difficult problems. This research offers a thorough evaluation of state-of-the-art AI, ML, and DL algorithms in urban artificial intelligence (AI). This encompasses land use, energy control, public safety, and traffic forecasting. We investigated urban-AI algorithms, and results show that ML algorithms such as Random Forest (RF) can achieve 94% accuracy in urban growth prediction, while Support Vector Machines (SVMs) have demonstrated power in accurately classifying objects such as built-up areas and vegetation. On the other hand, DL algorithms such as Convolutional Neural Networks (CNNs) can attain 79% accuracy in satellite image classification, while Recurrent Neural Network (RNN) and Long Short-Term Memory (LSTM) network are useful in time-series prediction tasks such as traffic flow forecasting, urban air quality prediction, and energy consumption modeling. However, the limitations of these algorithms, particularly when dealing with large datasets, could potentially restrict their scalability in real-time applications. Furthermore, we have identified ethical considerations such as privacy and surveillance, algorithmic bias and fairness, transparency and interpretability, accountability and human oversight, social inclusion, and civic participation, all of which require attention. This has resulted in a variety of suggestions, including creating guidelines for using AI for urban performance to address ethical issues. Future research directions should focus on integrating AI with emerging technologies such as 5G and developing robust frameworks for responsible AI governance in smart cities.;No;lacks practical relevance to organizations
Who evaluates the algorithms? An overview of the algorithmic accountability ecosystem;Criado, J. Ignacio and Guevara-Gomez, Ariana;2024;Proceedings of the 25th Annual International Conference on Digital Government Research;https://doi.org/10.1145/3657054.3657247;Algorithmic accountability is a concept that has been gaining interest in academic and professional circles, especially when considering the potential negative impacts of Artificial Intelligence in diverse scenarios. In this article, we present the results of a systematic literature review and in-depth interviews to advance the understanding of the algorithmic accountability definition and the dynamics within the ecosystem of such processes, with a focus on the role of the public sector. We also offer some practical recommendations for fostering an accountability ecosystem that accommodates the complexities of algorithmic systems, through multi-stakeholder collaboration, public regulation and oversight, and citizen participation.;No;lacks practical relevance to organizations
Public Value Principles for Secure and Trusted AI;Ganapati, Sukumar and Desouza, Kevin;2024;Proceedings of the 25th Annual International Conference on Digital Government Research;https://doi.org/10.1145/3657054.3657086;"The objective of this paper is to establish the fundamental public value principles that should govern safe and trusted artificial intelligence (AI). Public value is a dynamic concept that encompasses several dimensions. AI itself has evolved quite rapidly in the last few years, especially with the swift escalation of Generative AI. Governments around the world are grappling with how to govern AI, just as technologists ring alarm bells about the future consequences of AI. Our paper extends the debate on AI governance that is focused on ethical values of beneficence to that of economic values of public good. Viewed as a public good, AI use is beyond the control of the creators. Towards this end, the paper examined AI policies in the United States and Europe. We postulate three principles from a public values perspective: (i) ensuring security and privacy of each individual (or entity); (ii) ensuring trust in AI systems is verifiable; and (iii) ensuring fair and balanced AI protocols, wherein the underlying components of data and algorithms are contestable and open to public debate.";No;lacks practical relevance to organizations
Exploring AI Futures Through Role Play;Avin, Shahar and Gruetzemacher, Ross and Fox, James;2020;Proceedings of the AAAI/ACM Conference on AI, Ethics, and Society;https://doi.org/10.1145/3375627.3375817;We present an innovative methodology for studying and teaching the impacts of AI through a role-play game. The game serves two primary purposes: 1) training AI developers and AI policy professionals to reflect on and prepare for future social and ethical challenges related to AI and 2) exploring possible futures involving AI technology development, deployment, social impacts, and governance. While the game currently focuses on the inter-relations between short-, mid- and long-term impacts of AI, it has potential to be adapted for a broad range of scenarios, exploring in greater depths issues of AI policy research and affording training within organizations. The game presented here has undergone two years of development and has been tested through over 30 events involving between 3 and 70 participants. The game is under active development, but preliminary findings suggest that role-play is a promising methodology for both exploring AI futures and training individuals and organizations in thinking about, and reflecting on, the impacts of AI and strategic mistakes that can be avoided today.;No;lacks practical relevance to organizations
The impact of Artificial Intelligence on the Socioeconomic factors in the UAE;Hassanien, Ahmed Rabie Mohamed;2024;Proceedings of the 2023 6th Artificial Intelligence and Cloud Computing Conference;https://doi.org/10.1145/3639592.3639609;Artificial Intelligence (AI) is rapidly transforming industries worldwide, including the United Arab Emirates (UAE). As the UAE aims to become a leader in AI adoption and deployment, it is crucial to understand its impact on the country's socioeconomic factors. This research proposal aims to investigate the impact of AI on employment, wage inequality, productivity, innovation, and ethical implications in the UAE.The research will adopt a mixed-methods approach combining a systematic literature review and a quantitative survey to gather and assess data. The literature review will identify relevant literature to establish the research framework, while the survey will target leaders, employees, and end-users of organizations operating in the UAE across various sectors.A sample size of no less than 250 respondents who are predominantly leadership executives will be used, and the survey will consist of 30 questions, including demographic questions, and a 5-point Likert scale to measure respondents’ level of agreement or disagreement with the statements presented.Ethical considerations, including informed consent and anonymity, will be addressed. The findings from this research will contribute to a better understanding of the impact of AI on the socioeconomic factors in the UAE and help inform the development of appropriate policies and strategies for the responsible adoption and deployment of AI technologies in the country.The research proposal presents an exciting opportunity to explore a relevant and timely topic that will shed light on the potential impact of AI on the UAE's socioeconomic development.;No;lacks practical relevance to organizations
Ethical Tensions in Applications of AI for Addressing Human Trafficking: A Human Rights Perspective;Deeb-Swihart, Julia and Endert, Alex and Bruckman, Amy;2022;Proc. ACM Hum.-Comput. Interact.;https://doi.org/10.1145/3555186;"In the last two decades, human trafficking (where individuals are forcibly exploited for the profits of another) has seen increased attention from the artificial intelligence (AI) community. Clear focus on the ethical risks of this research is critical given that those risks are disproportionately born by already vulnerable populations. To understand and subsequently address these risks, we conducted a systematic literature review of computing research leveraging AI to combat human trafficking and apply a framework using principles from international human rights law to categorize ethical risks. This paper uncovers a number of ethical tensions including bias endemic in datasets, privacy risks stemming from data collection and reporting, and issues concerning potential misuse. We conclude by highlighting four suggestions for future research: broader use of participatory design; engaging with other forms of trafficking; developing best practices for harm prevention; and including transparent ethics disclosures in research. We find that there are significant gaps in what aspects of human trafficking researchers have focused on. Most research to date focuses on aiding criminal investigations in cases of sex trafficking, but more work is needed to support other anti-trafficking activities like supporting survivors, adequately address labor trafficking, and support more diverse survivor populations including transgender and nonbinary individuals.";No;lacks practical relevance to organizations
Fundamental Trends and Hot-Spots in Public Governance and Artificial Intelligence Research: A Bibliometric Study Analysis From 2013 to 2023;Lee, Siyuan;2024;Proceedings of the 5th International Conference on Computer Information and Big Data Applications;https://doi.org/10.1145/3671151.3671290;Background: AI has become an important theoretical and practical hotspot in public governance. This study aims to analyses the publication characteristics of AI in public governance research in terms of institutions, journals and partnerships, and to analyses the development trend of AI in public governance research. Methods: Publications regarding AI in public governance were retrieved from Web of Science core collection. Microsoft Excel 2010, VOSviewer were used to characterize the contributions of the authors, journals, and institutions. The trends, hot-spots and knowledge network were analyzed by Citespace and VOSviewer. Results: We identified 2525 papers between 2013 and 2023. The number of papers grows gradually until 2019, followed by a sharp increase between 2020 and 2023. The University of Oxford is the most active institution. Most of the papers in this field are published in Sustainability and IEEE Access. Luciano is the most productive author, and EUROPEAN COMMISSION is the most frequently co-cited author. The frontier topics are public sector and smart city. The basic themes of this field are “application scenarios, operation characteristics, algorithm characteristics, risk governance”. Conclusion: In the past three years, artificial intelligence and public governance research have attracted widespread attention. The research hotspots are gradually shifting to public service, decision-making and risk.;No;lacks practical relevance to organizations
AI Impact on Health Equity for Marginalized, Racial, and Ethnic Minorities;Iloanusi, Nchebe-Jah and Chun, Soon Ae;2024;Proceedings of the 25th Annual International Conference on Digital Government Research;https://doi.org/10.1145/3657054.3657152;Predictive analytics technologies like machine learning, AI and Generative AI models like Large Language Models (LLMs), have garnered enthusiasm for their potential to improve healthcare services in smart cities. However, these rapidly developing intelligent agents that guides the healthcare decisions may also risk exacerbating health inequities along racial, ethnic, gender, and socioeconomic lines, reflecting systemic discrimination ingrained within healthcare practices. Flawed or injudiciously applied AI systems could improperly restrict opportunities and provide substandard care for minority groups by propagating historical patterns of prejudice encoded within limited training datasets. These advanced intelligent technologies can hinder the sustainable health solutions for smart cities. This study examines intelligent AI models and applications in healthcare settings, with a focus on assessing impacts on marginalized and disadvantaged populations. Comprehensive scholarly database searches identified 45 relevant studies investigating issues on algorithmic bias, lack of diverse training data, and discrimination risks linked to healthcare AI systems. The review finds most applications still lack adequate safeguards to prevent discrimination against vulnerable populations. Through the review of these systems, we propose an integrated inclusive smart health model that considers both technical interventions as well as broader participatory and ethical approaches. Realizing AI’s fullest potential to meaningfully advance health justice requires not only algorithmic adjustments to mitigate bias, and efforts to improve diversity of training data, transparent analysis frameworks, and best practices for ensuring just AI systems in healthcare, but also a human-centered commitment to thoughtful, inclusive development approaches that center the needs and priorities of communities impacted by health disparities from the outset.;No;lacks practical relevance to organizations
Towards a roadmap on software engineering for responsible AI;Lu, Qinghua and Zhu, Liming and Xu, Xiwei and Whittle, Jon and Xing, Zhenchang;2022;Proceedings of the 1st International Conference on AI Engineering: Software Engineering for AI;https://doi.org/10.1145/3522664.3528607;Although AI is transforming the world, there are serious concerns about its ability to behave and make decisions responsibly. Many ethical regulations, principles, and frameworks for responsible AI have been issued recently. However, they are high level and difficult to put into practice. On the other hand, most AI researchers focus on algorithmic solutions, while the responsible AI challenges actually crosscut the entire engineering lifecycle and components of AI systems. To close the gap in operationalizing responsible AI, this paper aims to develop a roadmap on software engineering for responsible AI. The roadmap focuses on (i) establishing multi-level governance for responsible AI systems, (ii) setting up the development processes incorporating process-oriented practices for responsible AI systems, and (iii) building responsible-AI-by-design into AI systems through system-level architectural style, patterns and techniques.;No;lacks practical relevance to organizations
Towards the regulation of Large Language Models (LLMs) and Generative AI use in the Brazilian Government: the case of a State Court of Accounts;Alves, Karine and Santos, Edney and Silva, Matheus Fidelis and Chaves, Ana Carolina and Fernandes, Jose Andre and Valenca, George and Brito, Kellyton;2024;Proceedings of the 17th International Conference on Theory and Practice of Electronic Governance;https://doi.org/10.1145/3680127.3680219;"The rapid evolution of Artificial Intelligence (AI) and Large Language Models (LLMs) has been highlighted by the rise of platforms like ChatGPT, which garnered a significant user base within a short span of time. This sudden surge has sparked both excitement and concern among the government and public bodies, which are struggling to establish regulations governing AI usage. In Brazil, for instance, the legal landscape for AI remains uncertain, leaving public organizations uncertain about the path forward. In light of this ambiguity, this paper aims to develop and implement a methodology for establishing AI regulations in the public service, with a specific emphasis and partnership with the State Court of Accounts. To achieve this, a comprehensive methodology with five stages was collaboratively developed: (i) research and analysis; (ii) define the content of the regulation; (iii) categorize and refine; (iv) write a draft proposal; and (v) discuss and validate with stakeholders. Notably, the initial stage involved extensive research encompassing academic literature, existing and pending legislation in Brazil, and global initiatives. As a result, a set of 4 principles, 13directives, 22 acceptable uses, and 25 best practices were delineated and validated. This work represents a pioneering approach to AI regulation within Brazilian public institutions, offering a clear and actionable methodology that can serve as a reference point for future regulatory initiatives.";No;lacks practical relevance to organizations
Mind the Gap: Towards an Understanding of Government Decision-Making based on Artificial Intelligence;Valle-Cruz, David and Garc\'{\i;2022;Proceedings of the 23rd Annual International Conference on Digital Government Research;https://doi.org/10.1145/3543434.3543445;Decision-making has become more critical for organizations in the 21st century. The citizens’ countless needs and the emerging problems (internal and external) faced by governments increase the complexity of government decisions worldwide. The research question guiding this attempt is: How is government decision-making grounded on artificial intelligence (AI)? Based on the PRISMA approach and empirical analysis of some international cases are adopted. The authors analyze different organizational and environmental factors, the objectives, benefits, and risks of AI-supported decision-making. The findings show an increasing interest in the research on government decision-making based on AI. Finally, there is the potential of AI to support decision-making for the benefit of citizens and public value generation, collaboratively between governments, industry, and society. Future work will further analyze AI-based decision-making in government in depth.;No;lacks practical relevance to organizations
More than an IT system in the government: The work divide challenges in human-AI coworking context;Huang, Hsini and Chen, Yen-Yu and Kuo, Nai-Ling and Hung, Mei-Jen;2024;Proceedings of the 25th Annual International Conference on Digital Government Research;https://doi.org/10.1145/3657054.3657058;The study examines the collaboration between AI and humans in Taiwanese government agencies and the reasons for different modes of collaboration. Through interviews, four distinct patterns were identified based on the division of labor and the level of influence on citizens' rights. In cases where citizens' rights are minimally affected and the division of labor is independent, AI serves as a low-risk tool for routine tasks. For applications significantly affecting citizens' rights, especially those with mature AI technologies, government agencies tend to adopt a conservative approach, using AI as a reference or support rather than a primary decision-maker. The analysis also reveals instances where AI assists in tasks beyond its current capabilities, emphasizing the importance of Human-AI collaboration in resolving complex issues. Overall, the role of AI in Human-AI collaboration transcends traditional categorizations, showcasing nuanced relationships and varying degrees of collaboration across different contexts. Additionally, the study draws insights from past literature on ICTs' impact on bureaucratic systems, highlighting the evolving roles of public servants and potential challenges arising from technological advancements.;No;lacks practical relevance to organizations
Impact and barriers to AI in the public sector: the case of the State of Mexico;Millan-Vargas, Adrian Osiel and Sandoval-Almazan, Rodrigo and Valle-Cruz, David;2024;Proceedings of the 25th Annual International Conference on Digital Government Research;https://doi.org/10.1145/3657054.3657249;The use and implementation of Artificial Intelligence (AI) tools for doing repetitive tasks in the public sector is a challenge, particularly in persuading bureaucrats. However, the potential benefits for citizens, such as improved process and services related to tax payments and basic services using machine learning or diffuse logic for decision making or logistic distribution, are significant. This research aims to understand the perceptions of public managers regarding the impact, functions, and barriers of AI in the context of a local government. A survey was conducted among 32 key public managers from the government of the State of Mexico in the central region to assess their perceptions of AI. The findings indicate that there is widespread concern among public administrators regarding high costs, suggesting the critical need to address financial issues to ensure sustainable implementation of AI. In terms of barriers, the results underscore the urgent necessity of addressing fundamental issues such as connectivity, financial resources, and technological capacity to enable effective integration of AI. This study is relevant as it identifies the key aspects of impact, functions, and barriers for the implementation of AI in a local government.;No;lacks practical relevance to organizations
A Design Space for Intelligent and Interactive Writing Assistants;Lee, Mina and Gero, Katy Ilonka and Chung, John Joon Young and Shum, Simon Buckingham and Raheja, Vipul and Shen, Hua and Venugopalan, Subhashini and Wambsganss, Thiemo and Zhou, David and Alghamdi, Emad A. and August, Tal and Bhat, Avinash and Choksi, Madiha Zahrah and Dutta, Senjuti and Guo, Jin L.C. and Hoque, Md Naimul and Kim, Yewon and Knight, Simon and Neshaei, Seyed Parsa and Shibani, Antonette and Shrivastava, Disha and Shroff, Lila and Sergeyuk, Agnia and Stark, Jessi and Sterman, Sarah and Wang, Sitong and Bosselut, Antoine and Buschek, Daniel and Chang, Joseph Chee and Chen, Sherol and Kreminski, Max and Park, Joonsuk and Pea, Roy and Rho, Eugenia Ha Rim and Shen, Zejiang and Siangliulue, Pao;2024;Proceedings of the 2024 CHI Conference on Human Factors in Computing Systems;https://doi.org/10.1145/3613904.3642697;In our era of rapid technological advancement, the research landscape for writing assistants has become increasingly fragmented across various research communities. We seek to address this challenge by proposing a design space as a structured way to examine and explore the multidimensional space of intelligent and interactive writing assistants. Through community collaboration, we explore five aspects of writing assistants: task, user, technology, interaction, and ecosystem. Within each aspect, we define dimensions and codes by systematically reviewing 115 papers, while leveraging the expertise of researchers in various disciplines. Our design space aims to offer researchers and designers a practical tool to navigate, comprehend, and compare the various possibilities of writing assistants, and aid in the design of new writing assistants.;No;lacks practical relevance to organizations
Documenting Ethical Considerations in Open Source AI Models;Gao, Haoyu and Zahedi, Mansooreh and Treude, Christoph and Rosenstock, Sarita and Cheong, Marc;2024;Proceedings of the 18th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement;https://doi.org/10.1145/3674805.3686679;Background: The development of AI-enabled software heavily depends on AI model documentation, such as model cards, due to different domain expertise between software engineers and model developers. From an ethical standpoint, AI model documentation conveys critical information on ethical considerations along with mitigation strategies for downstream developers to ensure the delivery of ethically compliant software. However, knowledge on such documentation practice remains scarce. Aims: The objective of our study is to investigate how developers document ethical aspects of open source AI models in practice, aiming at providing recommendations for future documentation endeavours. Method: We selected three sources of documentation on GitHub and Hugging Face, and developed a keyword set to identify ethics-related documents systematically. After filtering an initial set of 2,347 documents, we identified 265 relevant ones and performed thematic analysis to derive the themes of ethical considerations. Results: Six themes emerge, with the three largest ones being model behavioural risks, model use cases, and model risk mitigation. Conclusions: Our findings reveal that open source AI model documentation focuses on articulating ethical problem statements and use case restrictions. We further provide suggestions to various stakeholders for improving documentation practice regarding ethical considerations.;No;lacks practical relevance to organizations
Blaming Humans and Machines: What Shapes People’s Reactions to Algorithmic Harm;Lima, Gabriel and Grgi\'{c;2023;Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems;https://doi.org/10.1145/3544548.3580953;Artificial intelligence (AI) systems can cause harm to people. This research examines how individuals react to such harm through the lens of blame. Building upon research suggesting that people blame AI systems, we investigated how several factors influence people’s reactive attitudes towards machines, designers, and users. The results of three studies (N = 1,153) indicate differences in how blame is attributed to these actors. Whether AI systems were explainable did not impact blame directed at them, their developers, and their users. Considerations about fairness and harmfulness increased blame towards designers and users but had little to no effect on judgments of AI systems. Instead, what determined people’s reactive attitudes towards machines was whether people thought blaming them would be a suitable response to algorithmic harm. We discuss implications, such as how future decisions about including AI systems in the social and moral spheres will shape laypeople’s reactions to AI-caused harm.;No;lacks practical relevance to organizations
Trust in AI-assisted Decision Making: Perspectives from Those Behind the System and Those for Whom the Decision is Made;Vereschak, Oleksandra and Alizadeh, Fatemeh and Bailly, Gilles and Caramiaux, Baptiste;2024;Proceedings of the 2024 CHI Conference on Human Factors in Computing Systems;https://doi.org/10.1145/3613904.3642018;"Trust between humans and AI in the context of decision-making has acquired an important role in public policy, research and industry. In this context, Human-AI Trust has often been tackled from the lens of cognitive science and psychology, but lacks insights from the stakeholders involved. In this paper, we conducted semi-structured interviews with 7 AI practitioners and 7 decision subjects from various decision domains. We found that 1) interviewees identified the prerequisites for the existence of trust and distinguish trust from trustworthiness, reliance, and compliance; 2) trust in AI-integrated systems is strongly influenced by other human actors, more than the system’s features; 3) the role of Human-AI trust factors is stakeholder-dependent. These results provide clues for the design of Human-AI interactions in which trust plays a major role, as well as outline new research directions in Human-AI Trust.";No;lacks practical relevance to organizations
